"sample_id","leukocyte_score","epithelial_score","tissue_score","purity_score","purity_flag","type"
"Pr4.1.2",0.372333403520668,0.641998652967862,0.652034462917011,0.573489166856962,"high_purity","candidate PCa CTC"
"Pr5.1.1",0.73347806584344,0.253092076239576,0.273381294964029,0.131050362537807,"low_purity","candidate PCa CTC"
"Pr5.1.2",0.78150133410035,-0.168157085837689,0.349383737276777,0,"low_purity","candidate PCa CTC"
"Pr5.1.3",0.827404298214784,0.150360505385943,0.240223206050544,0.0349090275362804,"low_purity","candidate PCa CTC"
"Pr6.1.3",0.444582366747592,0.461494906463583,0.657161635219227,0.478496395766172,"intermediate","candidate PCa CTC"
"Pr6.1.4",0.485022573315369,0.410774058665476,0.420568226600242,0.369154038404317,"intermediate","candidate PCa CTC"
"Pr8.1.2",0.39556368532984,0.446997443013832,0.822859740529013,0.552512326009504,"high_purity","candidate PCa CTC"
"Pr10.2.2",-0.156471130296405,0.466490960944064,0.654628512909802,0.836216173470687,"high_purity","lineage-confirmed PCa CTC"
"Pr11.1.1",0.419337061706044,0.151720234663427,0.725400965136335,0.421762056396321,"intermediate","lineage-confirmed PCa CTC"
"Pr11.2.2",0.244826499061323,0.519187136686126,0.494434131784184,0.565946739898744,"high_purity","lineage-confirmed PCa CTC"
"Pr11.3.1",-0.157321024209951,0.449212008639049,0.659819921639766,0.833131333316534,"high_purity","lineage-confirmed PCa CTC"
"Pr11.3.2",-0.234415383560071,0.596369316317357,0.753380795216185,0.950406391730611,"high_purity","lineage-confirmed PCa CTC"
"Pr11.3.3",0.154129013036466,0.581490672242176,0.615029196592707,0.674130592826181,"high_purity","lineage-confirmed PCa CTC"
"Pr11.4.1",0.309561784748204,0.475604831565847,0.717350794367224,0.58075473243319,"high_purity","lineage-confirmed PCa CTC"
"Pr11.4.2",0.469511471096374,0.529893578336929,0.651379234555463,0.482285143257082,"intermediate","lineage-confirmed PCa CTC"
"Pr11.4.3",0.335848994689468,0.134478176778532,0.271791214797077,0.331520438826634,"intermediate","lineage-confirmed PCa CTC"
"Pr11.4.4",0.322418318859657,0.467271631940259,0.690055059951014,0.562538066936462,"high_purity","lineage-confirmed PCa CTC"
"Pr11.4.5",0.375624302888626,0.593953962713117,0.644858422006141,0.555135738985313,"high_purity","lineage-confirmed PCa CTC"
"Pr11.4.6",0.173639750722955,0.625488801593462,0.785653278426458,0.726278546058354,"high_purity","lineage-confirmed PCa CTC"
"Pr14.1.1",0.296986724656636,0.458852971201037,0.413849489271785,0.493118312616287,"intermediate","lineage-confirmed PCa CTC"
"Pr14.2.1",-0.206780496379233,0.619116453553399,0.788815919941007,0.951271309900853,"high_purity","lineage-confirmed PCa CTC"
"Pr14.2.2",-0.152078094740747,0.455113085401692,0.783592235467628,0.868526320687794,"high_purity","lineage-confirmed PCa CTC"
"Pr14.2.3",-0.155168153583177,0.491313219940668,0.70813612572786,0.858703820440979,"high_purity","lineage-confirmed PCa CTC"
"Pr14.2.4",-0.184234227107728,0.440340278596797,0.674165594402212,0.850741691193169,"high_purity","lineage-confirmed PCa CTC"
"Pr14.2.5",0.208900228850629,0.485154311714076,0.595285015023673,0.607127591799285,"high_purity","lineage-confirmed PCa CTC"
"Pr14.2.6",-0.151689488221784,0.614959478066736,0.614552891861376,0.865565492292078,"high_purity","lineage-confirmed PCa CTC"
"Pr14.3.1",0.350542872618765,0.592039644703914,0.717177364400868,0.590940529529765,"high_purity","lineage-confirmed PCa CTC"
"Pr14.3.4",0.390726432816847,0.234625412243326,0.757762423144913,0.472985592304728,"intermediate","lineage-confirmed PCa CTC"
"Pr14.3.5",0.291635476086725,0.412066803339153,0.733212131755813,0.577243350605373,"high_purity","lineage-confirmed PCa CTC"
"Pr14.3.6",0.224873687597418,0.519513018819037,0.86810551558753,0.688863015797757,"high_purity","lineage-confirmed PCa CTC"
"Pr15.1.1",0.375688027190932,0.361801471571607,0.637748832756947,0.484044499506222,"intermediate","lineage-confirmed PCa CTC"
"Pr17.1.1",-0.186304077753042,0.485139978111024,0.757382601758275,0.889988031251126,"high_purity","lineage-confirmed PCa CTC"
"Pr17.1.2",-0.169818596938642,0.583037358333345,0.787935412026193,0.91834239057818,"high_purity","lineage-confirmed PCa CTC"
"Pr17.2.1",-0.170233700388302,0.544714964733252,0.602987889045621,0.852284719898168,"high_purity","lineage-confirmed PCa CTC"
"Pr17.2.2",0.33054674008738,0.437866288687557,0.675763143427431,0.544733564553263,"high_purity","lineage-confirmed PCa CTC"
"Pr9.1.1",0.526808167896912,0.34411705631239,0.403095521091976,0.319352091421682,"intermediate","lineage-confirmed PCa CTC"
"Pr9.1.2",0.28057934494164,0.604768023918138,0.605462307473773,0.603098547482692,"high_purity","lineage-confirmed PCa CTC"
"Pr9.1.3",0.334818151092828,0.426322866791204,0.683384184954856,0.541031787406792,"high_purity","lineage-confirmed PCa CTC"
"Pr9.1.4",0.25663717695025,0.533172137702055,0.780799906659467,0.64812676489296,"high_purity","lineage-confirmed PCa CTC"
"Pr9.1.6",0.351122875560503,0.412604635125366,0.481777507344812,0.467402999595299,"intermediate","lineage-confirmed PCa CTC"
"Pr9.3.1",-0.18814989958194,0.403024211905454,0.642202401875942,0.832493573127458,"high_purity","lineage-confirmed PCa CTC"
"Pr9.3.6",0.269678719830217,0.578407276646424,0.678750331857998,0.623508781031122,"high_purity","lineage-confirmed PCa CTC"
"Pr9.3.7",0.176480435233595,0.601351704072771,0.640956194923759,0.67445285922435,"high_purity","lineage-confirmed PCa CTC"
"Pr9.3.8",-0.156764330084254,0.624114406149379,0.634697922262058,0.877280808218228,"high_purity","lineage-confirmed PCa CTC"
"Pr18.1.1",0.264455986476834,0.455274485137294,0.807669188218299,0.628329040722265,"high_purity","lineage-confirmed PCa CTC"
"Pr18.1.4",-0.15336175308256,0.537156880716034,0.716484589194535,0.873724305239513,"high_purity","lineage-confirmed PCa CTC"
"Pr18.1.5",0.232079019622309,0.410770094916261,0.625275484854434,0.580177271727826,"high_purity","lineage-confirmed PCa CTC"
"Pr18.1.6",0.154394953668269,0.467896150214683,0.718278845484622,0.670900535291949,"high_purity","lineage-confirmed PCa CTC"
"Pr18.1.7",-0.22843340945056,0.53252690341236,0.697252299186443,0.911225845426344,"high_purity","lineage-confirmed PCa CTC"
"Pr18.1.8",0.204268127697181,0.596507529354579,0.783711492344586,0.698904010769903,"high_purity","lineage-confirmed PCa CTC"
"Pr18.2.1",-0.1919874472571,0.5580399069211,0.671345632841722,0.889462306922824,"high_purity","lineage-confirmed PCa CTC"
"Pr18.2.2",-0.149915324546205,0.399790265283127,0.689839834610806,0.822971068926344,"high_purity","lineage-confirmed PCa CTC"
"Pr18.2.3",-0.184305696596923,0.323111632391226,0.652851585588985,0.809641283008401,"high_purity","lineage-confirmed PCa CTC"
"Pr19.1.2",-0.152914809859856,0.530544347121323,0.840504799958082,0.908325274771051,"high_purity","lineage-confirmed PCa CTC"
"Pr19.1.3",0.230484713322055,0.483200243016156,0.777646548298171,0.647883153664475,"high_purity","lineage-confirmed PCa CTC"
"Pr19.1.4",0.331680668796363,0.440193840015186,0.621291356887163,0.528574866535036,"high_purity","lineage-confirmed PCa CTC"
"Pr19.1.5",0.351850137892672,0.338726848803607,0.658029385253588,0.49737297000435,"intermediate","lineage-confirmed PCa CTC"
"Pr20.1.1",0.28951942145649,0.493592592446606,0.55140236998465,0.548718936641777,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.1",-0.190125834634945,0.60389926636193,0.707287075078221,0.912648917078423,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.10",0.166834532727065,0.372976536882351,0.841034864416159,0.671778745754188,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.11",-0.200621221279959,0.397155297195173,0.762513493964222,0.873886526758237,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.12",-0.192147623574472,0.475447417832098,0.65742436904399,0.860895860920267,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.2",-0.155384936647366,0.486974820822249,0.611996798708336,0.828993818639423,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.3",-0.194706777742134,0.345456263475309,0.761549996131348,0.854734582622256,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.4",-0.17938676431254,0.332761709641162,0.637157511534503,0.804924864479143,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.5",-0.153348184084801,0.237253919658812,0.5422708935102,0.732918355202167,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.6",-0.208601741234157,0.247956475775739,0.521755336910437,0.76282137305538,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.7",-0.272535077209895,0.555715343493327,0.743247621120673,0.957964914961495,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.8",-0.245832156004151,0.493100125220107,0.642900347985635,0.8937102539501,"high_purity","lineage-confirmed PCa CTC"
"Pr21.1.9",-0.155904179212578,0.49475391613801,0.877882309536986,0.91057208703498,"high_purity","lineage-confirmed PCa CTC"
"Pr22.1.10",0.193791906531081,0.693728272224923,0.581099214859655,0.673828228399482,"high_purity","lineage-confirmed PCa CTC"
"Pr22.1.11",0.235319292644884,0.669959818310193,0.542372864620519,0.630604534221873,"high_purity","lineage-confirmed PCa CTC"
"Pr22.1.12",0.218778941106862,0.349444014311066,0.279890480468899,0.467296156494331,"intermediate","lineage-confirmed PCa CTC"
"Pr22.1.2",0.284827090465448,0.58490761518644,0.69511784856862,0.621302633095936,"high_purity","lineage-confirmed PCa CTC"
"Pr22.1.4",-0.153961410307872,0.684719123094182,0.642482749590738,0.89592561447361,"high_purity","lineage-confirmed PCa CTC"
"Pr22.1.5",0.230610429312987,0.551711223695467,0.790024084873404,0.67182985828466,"high_purity","lineage-confirmed PCa CTC"
"Pr22.1.6",-0.158518300885007,0.529955791507299,0.817734750418216,0.904716620909946,"high_purity","lineage-confirmed PCa CTC"
"Pr22.1.7",0.239645287735525,0.556567729672538,0.731534486011054,0.6505363554349,"high_purity","lineage-confirmed PCa CTC"
"Pr22.1.8",0.222406251820565,0.595824759658193,0.72725222402854,0.671161687252031,"high_purity","lineage-confirmed PCa CTC"
"Pr22.1.9",-0.152402904440237,0.656405325985395,0.820505845199601,0.939458961182306,"high_purity","lineage-confirmed PCa CTC"
"Pr3.1.1",0.439625593700512,0.410238070358657,0.675282265151493,0.471599988492592,"intermediate","lineage-confirmed PCa CTC"
"Pr6.1.1",0.191431575899742,0.677140088354161,0.541196058147528,0.658453947924498,"high_purity","lineage-confirmed PCa CTC"
"Pr6.1.2",0.206359135625028,0.699750072671979,0.699922145318594,0.703439076067204,"high_purity","lineage-confirmed PCa CTC"
"Pr6.1.5",0.156088864844712,0.597975002638764,0.578492011465326,0.667011489106207,"high_purity","lineage-confirmed PCa CTC"
"PriTum1",0.345288201231216,0.537808457365237,0.804648588821251,0.60393273371478,"high_purity","primary PCa tumor"
"PriTum2",0.426158345950188,0.459766129921716,0.655656359465573,0.488478704404116,"intermediate","primary PCa tumor"
"PriTum3",0.495621781938411,0.45457670075237,0.660693340469004,0.447176474952705,"intermediate","primary PCa tumor"
"PriTum4",0.393288791755894,0.537072379622032,0.634039840669627,0.524539290387442,"high_purity","primary PCa tumor"
"PriTum10",0.353543312905978,0.566235417148362,0.573267942092243,0.538758782835192,"high_purity","primary PCa tumor"
"PriTum11",0.305617520313372,0.579654273659352,0.717585093327646,0.614066405410362,"high_purity","primary PCa tumor"
"PriTum12",0.344149359030248,0.613108464207717,0.700267129477676,0.595972848815568,"high_purity","primary PCa tumor"
"PriTum5",0.389388912170859,0.54315408868997,0.747529195154995,0.562364460514468,"high_purity","primary PCa tumor"
"PriTum6",0.368080736621928,0.451895069769933,0.689713344741636,0.530749593956877,"high_purity","primary PCa tumor"
"PriTum7",0.374230506890244,0.627789161293191,0.470457033701411,0.514219783608006,"high_purity","primary PCa tumor"
"PriTum8",0.339188738945338,0.641470452050393,0.734274119166205,0.617440793550444,"high_purity","primary PCa tumor"
"PriTum9",0.323022108454174,0.51534929937729,0.630624969807345,0.558808137284273,"high_purity","primary PCa tumor"
"DU145.1",-0.247082009771466,0.48599351843543,0.27510271392538,0.783117698077785,"high_purity","single cell from PCa cell line"
"DU145.2",-0.312748084556448,0.464787125975305,-0.3189448441247,0.639407984523569,"high_purity","single cell from PCa cell line"
"DU145.3",-0.257518606029618,0.363890307971028,0.312882373896678,0.764274916553907,"high_purity","single cell from PCa cell line"
"DU145.4",-0.1533799992782,0.430472358949455,0.394893464943988,0.746550604900541,"high_purity","single cell from PCa cell line"
