"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","batch_sd","batch_balanced","n_per_group","median_lib"
13671,76,74,2,1720,0.0430232558139535,0.973684210526316,0.0263157894736842,0.1,0.210358552118393,0,0.00251256281407035,0,75,2899,0.981717833735771,"TMMwsp",TRUE,FALSE,1.40484088816601,"ctc_pipeline",5,4,0,FALSE,5,1002521.5
10435,1240,252,988,1720,0.146511627906977,0.203225806451613,0.796774193548387,0.1,0.150063723618592,0,0.00251256281407035,0,75,4059,0.981522542498152,"TMMwsp",FALSE,FALSE,0.903077593741364,"batch_removed",5,4,0,FALSE,5,1002521.5
10435,178,164,14,1720,0.0953488372093023,0.921348314606742,0.0786516853932584,0.1,0.262652952197068,0,0.00251256281407035,0,75,4059,0.981522542498152,"TMMwsp",FALSE,FALSE,0.996829496600258,"batch_ignored",5,4,0,FALSE,5,1002521.5
13709,79,72,7,1720,0.0418604651162791,0.911392405063291,0.0886075949367089,0.1,0.213065648878537,0,0,0,61,2928,0.983606557377049,"TMMwsp",TRUE,FALSE,1.38694455297723,"ctc_pipeline",5,5,0.35,FALSE,5,800555.5
10535,981,243,738,1720,0.141279069767442,0.247706422018349,0.752293577981651,0.1,0.171654370045468,0,0.00232558139534884,0,61,4056,0.984960552268245,"TMMwsp",FALSE,FALSE,0.875072163831974,"batch_removed",5,5,0.35,FALSE,5,800555.5
10535,173,133,40,1720,0.0773255813953488,0.76878612716763,0.23121387283237,0.1,0.223272453877555,0,0,0,61,4056,0.984960552268245,"TMMwsp",FALSE,FALSE,1.10934433825423,"batch_ignored",5,5,0.35,FALSE,5,800555.5
13027,72,68,4,1720,0.0395348837209302,0.944444444444444,0.0555555555555556,0.1,0.186606152160315,0,0,0,59,2961,0.986828774062817,"TMMwsp",TRUE,FALSE,1.46801027887645,"ctc_pipeline",5,6,0.7,FALSE,5,861064
9931,1024,211,813,1720,0.122674418604651,0.2060546875,0.7939453125,0.1,0.146893737222443,0,0,0,59,4213,0.985995727510088,"TMMwsp",FALSE,FALSE,0.895125430335695,"batch_removed",5,6,0.7,FALSE,5,861064
9931,260,124,136,1720,0.072093023255814,0.476923076923077,0.523076923076923,0.1,0.166877067797853,0,0,0,59,4213,0.985995727510088,"TMMwsp",FALSE,FALSE,1.36917838551031,"batch_ignored",5,6,0.7,FALSE,5,861064
12528,153,146,7,1720,0.0848837209302326,0.954248366013072,0.0457516339869281,0.1,0.262609336346949,0,0,0,70,3778,0.981736368448915,"TMMwsp",TRUE,FALSE,1.29547422848094,"ctc_pipeline",6,1,0,TRUE,5,577638
10248,198,168,30,1720,0.0976744186046512,0.848484848484849,0.151515151515152,0.1,0.247673700286389,0,0.00255102040816327,0,70,4061,0.982762866289091,"TMMwsp",FALSE,FALSE,0.940901388613772,"batch_removed",6,1,0,TRUE,5,577638
10248,182,162,20,1720,0.0941860465116279,0.89010989010989,0.10989010989011,0.1,0.259432033274587,0,0.00510204081632653,0,70,4061,0.982762866289091,"TMMwsp",FALSE,FALSE,1.01329008236856,"batch_ignored",6,1,0,TRUE,5,577638
12640,138,132,6,1720,0.0767441860465116,0.956521739130435,0.0434782608695652,0.1,0.261855794364612,0,0,0,64,3680,0.983152173913043,"TMMwsp",TRUE,FALSE,1.23033912772754,"ctc_pipeline",6,2,0.35,TRUE,5,660242.5
10389,171,145,26,1720,0.0843023255813953,0.847953216374269,0.152046783625731,0.1,0.233233325735009,0,0,0,64,3954,0.983813859382903,"TMMwsp",FALSE,FALSE,0.954921194357982,"batch_removed",6,2,0.35,TRUE,5,660242.5
10389,122,117,5,1720,0.0680232558139535,0.959016393442623,0.040983606557377,0.1,0.249678676726844,0,0,0,64,3954,0.983813859382903,"TMMwsp",FALSE,FALSE,1.10563597873094,"batch_ignored",6,2,0.35,TRUE,5,660242.5
12286,131,129,2,1720,0.075,0.984732824427481,0.0152671755725191,0.1,0.261924488261797,0,0.0025062656641604,0,71,3785,0.983091149273448,"TMMwsp",TRUE,FALSE,1.25967596419188,"ctc_pipeline",6,3,0.7,TRUE,5,1183549
10079,170,137,33,1720,0.0796511627906977,0.805882352941176,0.194117647058824,0.1,0.222244124446018,0,0.0050125313283208,0,71,4108,0.98271665043817,"TMMwsp",FALSE,FALSE,0.930336159765629,"batch_removed",6,3,0.7,TRUE,5,1183549
10079,68,68,0,1720,0.0395348837209302,1,0,0.1,0.23610706682514,0,0.0025062656641604,0,71,4108,0.98271665043817,"TMMwsp",FALSE,FALSE,1.45463856447213,"batch_ignored",6,3,0.7,TRUE,5,1183549
13545,64,61,3,1720,0.0354651162790698,0.953125,0.046875,0.1,0.189143618265002,0,0,0,71,2833,0.979879985880692,"TMMwsp",TRUE,FALSE,1.45355044704181,"ctc_pipeline",6,4,0,FALSE,5,803810.5
