"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","n_per_group","median_lib"
4216,63,62,1,1720,0.036046511627907,0.984126984126984,0.0158730158730159,0.05,0.177316348138728,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.773694380964979,"edger_default",2,1,3,778545.5
8364,59,59,0,1720,0.0343023255813954,1,0,0.1,0.193673981725234,0,0,0,36,4148,0.991321118611379,"TMMwsp",TRUE,FALSE,0.811036399101429,"ablate_filter",2,1,3,778545.5
8525,61,61,0,1720,0.0354651162790698,1,0,0.1,0.189843336377487,0,0,0,1,0,NA,"TMMwsp",TRUE,FALSE,1.16397540550126,"ablate_exclusive",2,1,3,778545.5
11823,52,52,0,1720,0.0302325581395349,1,0,0.1,0.197098074449576,0,0,0,36,3298,0.989387507580352,"TMM",TRUE,FALSE,1.24456001608675,"ablate_tmmwsp",2,1,3,778545.5
11823,54,54,0,1720,0.0313953488372093,1,0,0.1,0.196397702812007,0,0,0,36,3298,0.989387507580352,"TMMwsp",TRUE,FALSE,1.19775600733469,"ablate_priorcount",2,1,3,778545.5
11823,41,41,0,1720,0.0238372093023256,1,0,0.05,0.196590221062578,0,0,0,36,3298,0.989387507580352,"TMMwsp",TRUE,FALSE,1.19775600733469,"ablate_fdr",2,1,3,778545.5
11823,54,54,0,1720,0.0313953488372093,1,0,0.1,0.196642331909707,0,0,0,36,3298,0.989387507580352,"TMMwsp",TRUE,FALSE,1.19775600733469,"ablate_shrinkfloor",2,1,3,778545.5
11823,54,54,0,1720,0.0313953488372093,1,0,0.1,0.196260369639794,0,0,0,36,3298,0.989387507580352,"TMMwsp",TRUE,FALSE,1.19775600733469,"ablate_lowinput",2,1,3,778545.5
10544,148,94,54,1720,0.0546511627906977,0.635135135135135,0.364864864864865,0.1,0.180449733285733,0,0,0,36,4052,0.99111549851925,"TMMwsp",FALSE,FALSE,0.841885870235224,"batch_removed",2,1,3,778545.5
10544,49,49,0,1720,0.0284883720930233,1,0,0.1,0.192776322366947,0,0,0,36,4052,0.99111549851925,"TMMwsp",FALSE,FALSE,1.21692091662069,"batch_ignored",2,1,3,778545.5
11823,54,54,0,1720,0.0313953488372093,1,0,0.1,0.196355570257517,0,0,0,36,3298,0.989387507580352,"TMMwsp",TRUE,FALSE,1.19775600733469,"fix_filter",2,1,3,778545.5
13155,148,141,7,1720,0.0819767441860465,0.952702702702703,0.0472972972972973,0.1,0.26243216602983,0,0.00472813238770686,0,61,3667,0.984455958549223,"TMMwsp",TRUE,FALSE,1.2183027732373,"ctc_pipeline",2,2,5,758889.5
4802,150,143,7,1720,0.0831395348837209,0.953333333333333,0.0466666666666667,0.05,0.220315201946693,0,0.00472813238770686,0,0,0,NA,"TMM",TRUE,FALSE,0.687191029086341,"edger_default",2,2,5,758889.5
8879,158,150,8,1720,0.0872093023255814,0.949367088607595,0.0506329113924051,0.1,0.24722285464577,0,0.00472813238770686,0,61,4077,0.985038018150601,"TMMwsp",TRUE,FALSE,0.763262017154372,"ablate_filter",2,2,5,758889.5
9488,165,154,11,1720,0.0895348837209302,0.933333333333333,0.0666666666666667,0.1,0.248381872147565,0,0.00472813238770686,0,4,0,NA,"TMMwsp",TRUE,FALSE,1.15385097718407,"ablate_exclusive",2,2,5,758889.5
13155,152,143,9,1720,0.0831395348837209,0.94078947368421,0.0592105263157895,0.1,0.258992605744257,0,0.00472813238770686,0,61,3667,0.984455958549223,"TMM",TRUE,FALSE,1.23277983512317,"ablate_tmmwsp",2,2,5,758889.5
13155,148,141,7,1720,0.0819767441860465,0.952702702702703,0.0472972972972973,0.1,0.262376531661461,0,0.00472813238770686,0,61,3667,0.984455958549223,"TMMwsp",TRUE,FALSE,1.2183027732373,"ablate_priorcount",2,2,5,758889.5
13155,132,131,1,1720,0.0761627906976744,0.992424242424242,0.00757575757575758,0.05,0.262624171807099,0,0.00472813238770686,0,61,3667,0.984455958549223,"TMMwsp",TRUE,FALSE,1.2183027732373,"ablate_fdr",2,2,5,758889.5
13155,148,141,7,1720,0.0819767441860465,0.952702702702703,0.0472972972972973,0.1,0.262431797459058,0,0.00472813238770686,0,61,3667,0.984455958549223,"TMMwsp",TRUE,FALSE,1.2183027732373,"ablate_shrinkfloor",2,2,5,758889.5
13155,148,141,7,1720,0.0819767441860465,0.952702702702703,0.0472972972972973,0.1,0.262489021625256,0,0.00472813238770686,0,61,3667,0.984455958549223,"TMMwsp",TRUE,FALSE,1.2183027732373,"ablate_lowinput",2,2,5,758889.5
10985,203,163,40,1720,0.0947674418604651,0.80295566502463,0.197044334975369,0.1,0.240469065533796,0,0.00472813238770686,0,61,4073,0.98502332433096,"TMMwsp",FALSE,FALSE,0.895528841299755,"batch_removed",2,2,5,758889.5
10985,148,139,9,1720,0.0808139534883721,0.939189189189189,0.0608108108108108,0.1,0.253203584534275,0,0.00472813238770686,0,61,4073,0.98502332433096,"TMMwsp",FALSE,FALSE,1.11286899856255,"batch_ignored",2,2,5,758889.5
13155,148,141,7,1720,0.0819767441860465,0.952702702702703,0.0472972972972973,0.1,0.262619516052977,0,0.00472813238770686,0,61,3667,0.984455958549223,"TMMwsp",TRUE,FALSE,1.2183027732373,"fix_filter",2,2,5,758889.5
11362,234,221,13,1720,0.128488372093023,0.944444444444444,0.0555555555555556,0.1,0.319146136410419,0,0,0,90,3696,0.975649350649351,"TMMwsp",TRUE,FALSE,1.13822611602539,"ctc_pipeline",2,3,8,1039097.5
4214,201,193,8,1720,0.112209302325581,0.960199004975124,0.0398009950248756,0.05,0.241850930263824,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.624414171270442,"edger_default",2,3,8,1039097.5
7924,215,206,9,1720,0.119767441860465,0.958139534883721,0.0418604651162791,0.1,0.286524250674311,0,0,0,90,3710,0.975741239892183,"TMMwsp",TRUE,FALSE,0.671339813232594,"ablate_filter",2,3,8,1039097.5
7666,247,227,20,1720,0.131976744186047,0.919028340080972,0.0809716599190283,0.1,0.284081888309304,0,0,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.08515584193655,"ablate_exclusive",2,3,8,1039097.5
11362,235,222,13,1720,0.12906976744186,0.94468085106383,0.0553191489361702,0.1,0.320182362165802,0,0,0,90,3696,0.975649350649351,"TMM",TRUE,FALSE,1.14786964123878,"ablate_tmmwsp",2,3,8,1039097.5
11362,234,221,13,1720,0.128488372093023,0.944444444444444,0.0555555555555556,0.1,0.319450975381538,0,0,0,90,3696,0.975649350649351,"TMMwsp",TRUE,FALSE,1.13822611602539,"ablate_priorcount",2,3,8,1039097.5
11362,210,204,6,1720,0.118604651162791,0.971428571428571,0.0285714285714286,0.05,0.319264275874128,0,0,0,90,3696,0.975649350649351,"TMMwsp",TRUE,FALSE,1.13822611602539,"ablate_fdr",2,3,8,1039097.5
11362,234,221,13,1720,0.128488372093023,0.944444444444444,0.0555555555555556,0.1,0.318848953992853,0,0,0,90,3696,0.975649350649351,"TMMwsp",TRUE,FALSE,1.13822611602539,"ablate_shrinkfloor",2,3,8,1039097.5
11362,234,221,13,1720,0.128488372093023,0.944444444444444,0.0555555555555556,0.1,0.318557986854913,0,0,0,90,3696,0.975649350649351,"TMMwsp",TRUE,FALSE,1.13822611602539,"ablate_lowinput",2,3,8,1039097.5
9968,267,235,32,1720,0.136627906976744,0.880149812734082,0.119850187265918,0.1,0.297928935052409,0,0,0,90,3712,0.975754310344828,"TMMwsp",FALSE,FALSE,0.925683325690588,"batch_removed",2,3,8,1039097.5
9968,206,199,7,1720,0.115697674418605,0.966019417475728,0.0339805825242718,0.1,0.309477572807203,0,0,0,90,3712,0.975754310344828,"TMMwsp",FALSE,FALSE,1.07555089100151,"batch_ignored",2,3,8,1039097.5
11362,234,221,13,1720,0.128488372093023,0.944444444444444,0.0555555555555556,0.1,0.319387241193355,0,0,0,90,3696,0.975649350649351,"TMMwsp",TRUE,FALSE,1.13822611602539,"fix_filter",2,3,8,1039097.5
12565,51,51,0,1720,0.0296511627906977,1,0,0.1,0.210074703989144,0,0,0,40,3236,0.989493201483313,"TMMwsp",TRUE,FALSE,1.14501055526564,"ctc_pipeline",3,1,3,916005
5046,53,53,0,1720,0.0308139534883721,1,0,0.05,0.190248404191921,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.757019260201224,"edger_default",3,1,3,916005
9325,55,55,0,1720,0.0319767441860465,1,0,0.1,0.204387004739227,0,0,0,40,4279,0.990652021500351,"TMMwsp",TRUE,FALSE,0.833534334383477,"ablate_filter",3,1,3,916005
9329,55,55,0,1720,0.0319767441860465,1,0,0.1,0.205322528152425,0,0,0,6,0,NA,"TMMwsp",TRUE,FALSE,1.08432726524574,"ablate_exclusive",3,1,3,916005
12565,45,45,0,1720,0.0261627906976744,1,0,0.1,0.20769915027029,0,0,0,40,3236,0.989493201483313,"TMM",TRUE,FALSE,1.15501739466463,"ablate_tmmwsp",3,1,3,916005
12565,51,51,0,1720,0.0296511627906977,1,0,0.1,0.210195399440052,0,0,0,40,3236,0.989493201483313,"TMMwsp",TRUE,FALSE,1.14501055526564,"ablate_priorcount",3,1,3,916005
12565,42,42,0,1720,0.0244186046511628,1,0,0.05,0.210242082325678,0,0,0,40,3236,0.989493201483313,"TMMwsp",TRUE,FALSE,1.14501055526564,"ablate_fdr",3,1,3,916005
12565,51,51,0,1720,0.0296511627906977,1,0,0.1,0.210411714895349,0,0,0,40,3236,0.989493201483313,"TMMwsp",TRUE,FALSE,1.14501055526564,"ablate_shrinkfloor",3,1,3,916005
12565,51,51,0,1720,0.0296511627906977,1,0,0.1,0.210146629469482,0,0,0,40,3236,0.989493201483313,"TMMwsp",TRUE,FALSE,1.14501055526564,"ablate_lowinput",3,1,3,916005
11368,103,83,20,1720,0.0482558139534884,0.805825242718447,0.194174757281553,0.1,0.190421553178407,0,0,0,40,4159,0.990622745852368,"TMMwsp",FALSE,FALSE,0.763120169158687,"batch_removed",3,1,3,916005
11368,43,43,0,1720,0.025,1,0,0.1,0.207117196062965,0,0,0,40,4159,0.990622745852368,"TMMwsp",FALSE,FALSE,1.17271203470892,"batch_ignored",3,1,3,916005
12565,51,51,0,1720,0.0296511627906977,1,0,0.1,0.209993098082163,0,0,0,40,3236,0.989493201483313,"TMMwsp",TRUE,FALSE,1.14501055526564,"fix_filter",3,1,3,916005
12218,128,122,6,1720,0.0709302325581395,0.953125,0.046875,0.1,0.245538674664613,0,0,0,56,3695,0.985385656292287,"TMMwsp",TRUE,FALSE,1.31277331365804,"ctc_pipeline",3,2,5,751965.5
4117,128,125,3,1720,0.0726744186046512,0.9765625,0.0234375,0.05,0.204547834959557,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.725897259461626,"edger_default",3,2,5,751965.5
8093,133,127,6,1720,0.0738372093023256,0.954887218045113,0.0451127819548872,0.1,0.228402403263349,0,0,0,56,3976,0.985915492957746,"TMMwsp",TRUE,FALSE,0.796341925537829,"ablate_filter",3,2,5,751965.5
8523,140,132,8,1720,0.0767441860465116,0.942857142857143,0.0571428571428571,0.1,0.232216077859143,0,0,0,2,0,NA,"TMMwsp",TRUE,FALSE,1.25207516661363,"ablate_exclusive",3,2,5,751965.5
12218,129,125,4,1720,0.0726744186046512,0.968992248062015,0.0310077519379845,0.1,0.247886286745558,0,0,0,56,3695,0.985385656292287,"TMM",TRUE,FALSE,1.33001272324332,"ablate_tmmwsp",3,2,5,751965.5
12218,128,122,6,1720,0.0709302325581395,0.953125,0.046875,0.1,0.245441465230493,0,0,0,56,3695,0.985385656292287,"TMMwsp",TRUE,FALSE,1.31277331365804,"ablate_priorcount",3,2,5,751965.5
