"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","lib_lo","lib_hi","n_per_group","median_lib"
10554,221,208,13,1720,0.12093023255814,0.941176470588235,0.0588235294117647,0.1,0.301535620836165,0,0.012531328320802,0,106,3663,0.971061971061971,"TMMwsp",TRUE,FALSE,0.720259760208289,"ablate_filter",6,3,1e+06,3e+06,5,2388839
17487,379,358,21,1720,0.208139534883721,0.944591029023747,0.0554089709762533,0.1,0.492854135956563,0.141666666666667,0.00531914893617021,0,118,2088,0.98323754789272,"TMMwsp",TRUE,FALSE,0.655909845569343,"ctc_pipeline",6,4,5e+06,1.5e+07,5,8577906.5
17336,380,358,22,1720,0.208139534883721,0.942105263157895,0.0578947368421053,0.1,0.492766213975112,0.141666666666667,0.00531914893617021,0,118,2221,0.984241332733003,"TMMwsp",TRUE,FALSE,0.652346299676427,"fix_filter",6,4,5e+06,1.5e+07,5,8577906.5
13732,398,372,26,1720,0.216279069767442,0.934673366834171,0.0653266331658292,0.1,0.471328124782155,0.116666666666667,0.00531914893617021,7,118,2542,0.95712037765539,"TMMwsp",TRUE,FALSE,0.489432949117024,"ablate_filter",6,4,5e+06,1.5e+07,5,8577906.5
18725,709,647,62,1720,0.376162790697674,0.912552891396333,0.0874471086036671,0.1,0.6106662119463,1,0.0763723150357995,1,120,813,0.998769987699877,"TMMwsp",TRUE,FALSE,0.44694383680417,"ctc_pipeline",6,5,2e+07,6e+07,5,37806680
18347,712,648,64,1720,0.376744186046512,0.910112359550562,0.0898876404494382,0.1,0.610481478938888,1,0.0763723150357995,1,120,1822,0.999451152579583,"TMMwsp",TRUE,FALSE,0.435836726893016,"fix_filter",6,5,2e+07,6e+07,5,37806680
16988,720,654,66,1720,0.380232558139535,0.908333333333333,0.0916666666666667,0.1,0.603133997008383,1,0.0787589498806683,4,120,1949,0.997947665469472,"TMMwsp",TRUE,FALSE,0.388174715144878,"ablate_filter",6,5,2e+07,6e+07,5,37806680
9180,46,46,0,1720,0.0267441860465116,1,0,0.1,0.174209696719916,0,0,0,15,3849,0.996102883865939,"TMMwsp",TRUE,FALSE,1.66408582347929,"ctc_pipeline",7,1,1e+05,3e+05,5,195866.5
9180,46,46,0,1720,0.0267441860465116,1,0,0.1,0.175041106732492,0,0,0,15,3849,0.996102883865939,"TMMwsp",TRUE,FALSE,1.66408582347929,"fix_filter",7,1,1e+05,3e+05,5,195866.5
6193,52,52,0,1720,0.0302325581395349,1,0,0.1,0.164629404840018,0,0,0,15,4099,0.996340570870944,"TMMwsp",TRUE,FALSE,0.979377548068662,"ablate_filter",7,1,1e+05,3e+05,5,195866.5
11911,125,122,3,1720,0.0709302325581395,0.976,0.024,0.1,0.23668792550118,0,0,0,58,3834,0.985133020344288,"TMMwsp",TRUE,FALSE,1.36974299061546,"ctc_pipeline",7,2,3e+05,9e+05,5,578763
