"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","exclusive_cpm","n_per_group","median_lib"
8797,163,152,11,1720,0.0883720930232558,0.932515337423313,0.0674846625766871,0.1,0.259460190236075,0,0,0,16,0,NA,"TMMwsp",TRUE,FALSE,1.2010773167795,"ablate_exclusive",3,3,1,5,810061.5
4547,157,146,11,1720,0.0848837209302326,0.929936305732484,0.0700636942675159,0.05,0.222291224601658,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.755123652068336,"edger_default",3,3,1,5,810061.5
12978,158,149,9,1720,0.0866279069767442,0.943037974683544,0.0569620253164557,0.1,0.27006367294406,0,0.00253807106598985,0,89,3535,0.977934936350778,"TMMwsp",TRUE,FALSE,1.18913655065969,"ctc_pipeline",3,4,2,5,875945
9443,173,158,15,1720,0.0918604651162791,0.913294797687861,0.0867052023121387,0.1,0.259298688211736,0,0.00253807106598985,0,11,0,NA,"TMMwsp",TRUE,FALSE,1.13108878826188,"ablate_exclusive",3,4,2,5,875945
5056,163,153,10,1720,0.088953488372093,0.938650306748466,0.0613496932515337,0.05,0.23580225971677,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.69954782247371,"edger_default",3,4,2,5,875945
11769,108,106,2,1720,0.0616279069767442,0.981481481481482,0.0185185185185185,0.1,0.266970746569833,0,0,0,112,3742,0.979957242116515,"TMMwsp",TRUE,FALSE,1.3909058203111,"ctc_pipeline",3,5,5,5,949467.5
8027,125,120,5,1720,0.0697674418604651,0.96,0.04,0.1,0.241783760141069,0,0,0,37,0,NA,"TMMwsp",TRUE,FALSE,1.32943846734782,"ablate_exclusive",3,5,5,5,949467.5
4031,117,113,4,1720,0.0656976744186046,0.965811965811966,0.0341880341880342,0.05,0.211063200889296,0,0,0,3,0,NA,"TMM",TRUE,FALSE,0.866055114734192,"edger_default",3,5,5,5,949467.5
13269,181,174,7,1720,0.101162790697674,0.961325966850829,0.0386740331491713,0.1,0.326860653527997,0.0833333333333333,0,0,120,3592,0.996102449888641,"TMMwsp",TRUE,FALSE,1.22846146950421,"ctc_pipeline",3,6,10,5,1133375.5
9677,207,190,17,1720,0.11046511627907,0.917874396135266,0.0821256038647343,0.1,0.31646110298078,0.116666666666667,0,0,106,0,NA,"TMMwsp",TRUE,FALSE,1.17046179272928,"ablate_exclusive",3,6,10,5,1133375.5
5377,181,168,13,1720,0.0976744186046512,0.92817679558011,0.0718232044198895,0.05,0.258254405217578,0.0833333333333333,0,0,30,0,NA,"TMM",TRUE,FALSE,0.759334932091513,"edger_default",3,6,10,5,1133375.5
12484,228,223,5,1720,0.129651162790698,0.978070175438597,0.0219298245614035,0.1,0.349279442169422,0.633333333333333,0,0,120,3652,0.997535596933187,"TMMwsp",TRUE,FALSE,1.25414033017151,"ctc_pipeline",3,7,20,5,1049218.5
8832,248,240,8,1720,0.13953488372093,0.967741935483871,0.032258064516129,0.1,0.332895990367662,0.683333333333333,0,0,111,0,NA,"TMMwsp",TRUE,FALSE,1.18751947705928,"ablate_exclusive",3,7,20,5,1049218.5
4745,231,222,9,1720,0.12906976744186,0.961038961038961,0.038961038961039,0.05,0.280322586464568,0.575,0,0,72,0,NA,"TMM",TRUE,FALSE,0.763652757662009,"edger_default",3,7,20,5,1049218.5
13050,284,275,9,1720,0.159883720930233,0.96830985915493,0.0316901408450704,0.1,0.344429949602793,0.991666666666667,0,0,120,3574,1,"TMMwsp",TRUE,FALSE,1.24222730405283,"ctc_pipeline",3,8,50,5,761969
9476,308,292,16,1720,0.169767441860465,0.948051948051948,0.051948051948052,0.1,0.338185407421241,0.991666666666667,0,0,120,0,NA,"TMMwsp",TRUE,FALSE,1.18758225390473,"ablate_exclusive",3,8,50,5,761969
5015,280,270,10,1720,0.156976744186047,0.964285714285714,0.0357142857142857,0.05,0.302525901012689,0.958333333333333,0,0,115,0,NA,"TMM",TRUE,FALSE,0.737571741150629,"edger_default",3,8,50,5,761969
12131,81,80,1,1720,0.0465116279069767,0.987654320987654,0.0123456790123457,0.1,0.225676364078425,0,0,0,4,3694,0.998917162966973,"TMMwsp",TRUE,FALSE,1.29687219279454,"ctc_pipeline",4,1,0.1,5,678020.5
8437,101,96,5,1720,0.0558139534883721,0.95049504950495,0.0495049504950495,0.1,0.220729534207037,0,0,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.23009585600089,"ablate_exclusive",4,1,0.1,5,678020.5
4166,92,90,2,1720,0.0523255813953488,0.978260869565217,0.0217391304347826,0.05,0.197461196448517,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.732286293486776,"edger_default",4,1,0.1,5,678020.5
13250,150,146,4,1720,0.0848837209302326,0.973333333333333,0.0266666666666667,0.1,0.267090338367141,0,0,0,40,3554,0.988745075970737,"TMMwsp",TRUE,FALSE,1.21068177611776,"ctc_pipeline",4,2,0.5,5,1177942
9696,160,151,9,1720,0.0877906976744186,0.94375,0.05625,0.1,0.256547283903261,0,0,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.15241612062201,"ablate_exclusive",4,2,0.5,5,1177942
5487,154,147,7,1720,0.0854651162790698,0.954545454545455,0.0454545454545455,0.05,0.233359104034035,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.75609599744168,"edger_default",4,2,0.5,5,1177942
12473,107,100,7,1720,0.0581395348837209,0.934579439252336,0.0654205607476635,0.1,0.240393769323576,0,0.00244498777506112,0,70,3659,0.981962284777262,"TMMwsp",TRUE,FALSE,1.25124526594271,"ctc_pipeline",4,3,1,5,907999.5
8814,123,113,10,1720,0.0656976744186046,0.91869918699187,0.0813008130081301,0.1,0.22716126020827,0,0.00244498777506112,0,4,0,NA,"TMMwsp",TRUE,FALSE,1.18903899911377,"ablate_exclusive",4,3,1,5,907999.5
4607,112,105,7,1720,0.061046511627907,0.9375,0.0625,0.05,0.207199045413412,0,0.00244498777506112,0,0,0,NA,"TMM",TRUE,FALSE,0.733311501176126,"edger_default",4,3,1,5,907999.5
12355,130,124,6,1720,0.072093023255814,0.953846153846154,0.0461538461538462,0.1,0.259866610381051,0,0,0,81,3721,0.979306638000538,"TMMwsp",TRUE,FALSE,1.27401065455921,"ctc_pipeline",4,4,2,5,771607.5
8634,144,135,9,1720,0.0784883720930233,0.9375,0.0625,0.1,0.238000532714271,0,0,0,4,0,NA,"TMMwsp",TRUE,FALSE,1.21731801428116,"ablate_exclusive",4,4,2,5,771607.5
4360,144,135,9,1720,0.0784883720930233,0.9375,0.0625,0.05,0.213418657363714,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.736687404170222,"edger_default",4,4,2,5,771607.5
13100,148,142,6,1720,0.0825581395348837,0.959459459459459,0.0405405405405405,0.1,0.300709537945129,0,0,0,117,3611,0.980891719745223,"TMMwsp",TRUE,FALSE,1.21249971470969,"ctc_pipeline",4,5,5,5,850751
9489,162,151,11,1720,0.0877906976744186,0.932098765432099,0.0679012345679012,0.1,0.282455024884546,0,0,0,48,0,NA,"TMMwsp",TRUE,FALSE,1.15736923125989,"ablate_exclusive",4,5,5,5,850751
5032,144,135,9,1720,0.0784883720930233,0.9375,0.0625,0.05,0.239293072176589,0,0,0,1,0,NA,"TMM",TRUE,FALSE,0.733350504942725,"edger_default",4,5,5,5,850751
12761,151,146,5,1720,0.0848837209302326,0.966887417218543,0.033112582781457,0.1,0.315947388510595,0.0583333333333333,0,0,119,3656,0.99398249452954,"TMMwsp",TRUE,FALSE,1.22741194642013,"ctc_pipeline",4,6,10,5,947692
