"arm","perm","mode","n_tested","n_significant","batch_in_model","failed"
"edger_default",12,"balanced",6156,329,TRUE,FALSE
"ablate_filter",12,"balanced",8908,748,TRUE,FALSE
"ablate_exclusive",12,"balanced",10407,1083,TRUE,FALSE
"ablate_tmmwsp",12,"balanced",13157,1386,TRUE,FALSE
"ablate_priorcount",12,"balanced",13157,1351,TRUE,FALSE
"ablate_fdr",12,"balanced",13157,741,TRUE,FALSE
"ablate_shrinkfloor",12,"balanced",13157,1351,TRUE,FALSE
"ablate_lowinput",12,"balanced",13157,1351,TRUE,FALSE
"batch_removed",12,"balanced",8539,2590,FALSE,FALSE
"batch_ignored",12,"balanced",8539,2917,FALSE,FALSE
"fix_filter",12,"balanced",13106,1340,TRUE,FALSE
"ctc_pipeline",13,"balanced",13225,1268,TRUE,FALSE
"edger_default",13,"balanced",6156,253,TRUE,FALSE
"ablate_filter",13,"balanced",8980,666,TRUE,FALSE
"ablate_exclusive",13,"balanced",10407,1017,TRUE,FALSE
"ablate_tmmwsp",13,"balanced",13225,1399,TRUE,FALSE
"ablate_priorcount",13,"balanced",13225,1268,TRUE,FALSE
"ablate_fdr",13,"balanced",13225,650,TRUE,FALSE
"ablate_shrinkfloor",13,"balanced",13225,1268,TRUE,FALSE
"ablate_lowinput",13,"balanced",13225,1268,TRUE,FALSE
"batch_removed",13,"balanced",8611,2576,FALSE,FALSE
"batch_ignored",13,"balanced",8611,2956,FALSE,FALSE
"fix_filter",13,"balanced",13174,1244,TRUE,FALSE
"ctc_pipeline",14,"balanced",13139,1115,TRUE,FALSE
"edger_default",14,"balanced",6156,186,TRUE,FALSE
"ablate_filter",14,"balanced",8893,535,TRUE,FALSE
"ablate_exclusive",14,"balanced",10407,908,TRUE,FALSE
"ablate_tmmwsp",14,"balanced",13139,1080,TRUE,FALSE
"ablate_priorcount",14,"balanced",13139,1115,TRUE,FALSE
"ablate_fdr",14,"balanced",13139,617,TRUE,FALSE
"ablate_shrinkfloor",14,"balanced",13139,1115,TRUE,FALSE
"ablate_lowinput",14,"balanced",13139,1115,TRUE,FALSE
"batch_removed",14,"balanced",8524,2461,FALSE,FALSE
"batch_ignored",14,"balanced",8524,2825,FALSE,FALSE
"fix_filter",14,"balanced",13088,1115,TRUE,FALSE
"ctc_pipeline",15,"balanced",13082,1046,TRUE,FALSE
"edger_default",15,"balanced",6156,254,TRUE,FALSE
"ablate_filter",15,"balanced",8832,529,TRUE,FALSE
"ablate_exclusive",15,"balanced",10407,836,TRUE,FALSE
"ablate_tmmwsp",15,"balanced",13082,1060,TRUE,FALSE
"ablate_priorcount",15,"balanced",13082,1046,TRUE,FALSE
"ablate_fdr",15,"balanced",13082,556,TRUE,FALSE
"ablate_shrinkfloor",15,"balanced",13082,1046,TRUE,FALSE
"ablate_lowinput",15,"balanced",13082,1046,TRUE,FALSE
"batch_removed",15,"balanced",8463,2549,FALSE,FALSE
"batch_ignored",15,"balanced",8463,2935,FALSE,FALSE
"fix_filter",15,"balanced",13031,1042,TRUE,FALSE
"ctc_pipeline",16,"balanced",13148,1109,TRUE,FALSE
"edger_default",16,"balanced",6156,253,TRUE,FALSE
"ablate_filter",16,"balanced",8900,611,TRUE,FALSE
"ablate_exclusive",16,"balanced",10407,877,TRUE,FALSE
"ablate_tmmwsp",16,"balanced",13148,1136,TRUE,FALSE
"ablate_priorcount",16,"balanced",13148,1109,TRUE,FALSE
"ablate_fdr",16,"balanced",13148,594,TRUE,FALSE
"ablate_shrinkfloor",16,"balanced",13148,1109,TRUE,FALSE
"ablate_lowinput",16,"balanced",13148,1109,TRUE,FALSE
"batch_removed",16,"balanced",8531,2561,FALSE,FALSE
"batch_ignored",16,"balanced",8531,2919,FALSE,FALSE
"fix_filter",16,"balanced",13098,1105,TRUE,FALSE
"ctc_pipeline",17,"balanced",13151,1061,TRUE,FALSE
"edger_default",17,"balanced",6156,232,TRUE,FALSE
"ablate_filter",17,"balanced",8904,567,TRUE,FALSE
"ablate_exclusive",17,"balanced",10407,873,TRUE,FALSE
"ablate_tmmwsp",17,"balanced",13151,1051,TRUE,FALSE
"ablate_priorcount",17,"balanced",13151,1061,TRUE,FALSE
"ablate_fdr",17,"balanced",13151,551,TRUE,FALSE
"ablate_shrinkfloor",17,"balanced",13151,1061,TRUE,FALSE
"ablate_lowinput",17,"balanced",13151,1061,TRUE,FALSE
"batch_removed",17,"balanced",8536,2476,FALSE,FALSE
"batch_ignored",17,"balanced",8536,2853,FALSE,FALSE
"fix_filter",17,"balanced",13100,1039,TRUE,FALSE
"ctc_pipeline",18,"balanced",13214,1153,TRUE,FALSE
"edger_default",18,"balanced",6156,251,TRUE,FALSE
"ablate_filter",18,"balanced",8965,642,TRUE,FALSE
"ablate_exclusive",18,"balanced",10407,927,TRUE,FALSE
"ablate_tmmwsp",18,"balanced",13214,1182,TRUE,FALSE
"ablate_priorcount",18,"balanced",13214,1153,TRUE,FALSE
"ablate_fdr",18,"balanced",13214,607,TRUE,FALSE
"ablate_shrinkfloor",18,"balanced",13214,1153,TRUE,FALSE
"ablate_lowinput",18,"balanced",13214,1153,TRUE,FALSE
"batch_removed",18,"balanced",8596,2587,FALSE,FALSE
"batch_ignored",18,"balanced",8596,2869,FALSE,FALSE
"fix_filter",18,"balanced",13163,1148,TRUE,FALSE
"ctc_pipeline",19,"balanced",13175,1192,TRUE,FALSE
"edger_default",19,"balanced",6156,225,TRUE,FALSE
"ablate_filter",19,"balanced",8928,608,TRUE,FALSE
"ablate_exclusive",19,"balanced",10407,932,TRUE,FALSE
"ablate_tmmwsp",19,"balanced",13175,1240,TRUE,FALSE
"ablate_priorcount",19,"balanced",13175,1192,TRUE,FALSE
"ablate_fdr",19,"balanced",13175,685,TRUE,FALSE
"ablate_shrinkfloor",19,"balanced",13175,1192,TRUE,FALSE
"ablate_lowinput",19,"balanced",13175,1192,TRUE,FALSE
"batch_removed",19,"balanced",8559,2490,FALSE,FALSE
"batch_ignored",19,"balanced",8559,2852,FALSE,FALSE
"fix_filter",19,"balanced",13124,1187,TRUE,FALSE
"ctc_pipeline",20,"balanced",13323,1215,TRUE,FALSE
"edger_default",20,"balanced",6156,342,TRUE,FALSE
"ablate_filter",20,"balanced",9079,656,TRUE,FALSE
"ablate_exclusive",20,"balanced",10407,973,TRUE,FALSE
"ablate_tmmwsp",20,"balanced",13323,1429,TRUE,FALSE
"ablate_priorcount",20,"balanced",13323,1215,TRUE,FALSE
"ablate_fdr",20,"balanced",13323,592,TRUE,FALSE
"ablate_shrinkfloor",20,"balanced",13323,1215,TRUE,FALSE
"ablate_lowinput",20,"balanced",13323,1215,TRUE,FALSE
"batch_removed",20,"balanced",8710,2667,FALSE,FALSE
"batch_ignored",20,"balanced",8710,2865,FALSE,FALSE
"fix_filter",20,"balanced",13273,1220,TRUE,FALSE
"ctc_pipeline",21,"balanced",13216,1243,TRUE,FALSE
"edger_default",21,"balanced",6156,226,TRUE,FALSE
"ablate_filter",21,"balanced",8970,624,TRUE,FALSE
"ablate_exclusive",21,"balanced",10407,957,TRUE,FALSE
"ablate_tmmwsp",21,"balanced",13216,1222,TRUE,FALSE
"ablate_priorcount",21,"balanced",13216,1243,TRUE,FALSE
"ablate_fdr",21,"balanced",13216,587,TRUE,FALSE
"ablate_shrinkfloor",21,"balanced",13216,1243,TRUE,FALSE
"ablate_lowinput",21,"balanced",13216,1243,TRUE,FALSE
"batch_removed",21,"balanced",8601,2508,FALSE,FALSE
"batch_ignored",21,"balanced",8601,2928,FALSE,FALSE
"fix_filter",21,"balanced",13167,1235,TRUE,FALSE
"ctc_pipeline",22,"balanced",13151,878,TRUE,FALSE
"edger_default",22,"balanced",6156,135,TRUE,FALSE
"ablate_filter",22,"balanced",8902,432,TRUE,FALSE
"ablate_exclusive",22,"balanced",10407,698,TRUE,FALSE
"ablate_tmmwsp",22,"balanced",13151,830,TRUE,FALSE
"ablate_priorcount",22,"balanced",13151,878,TRUE,FALSE
"ablate_fdr",22,"balanced",13151,417,TRUE,FALSE
"ablate_shrinkfloor",22,"balanced",13151,878,TRUE,FALSE
"ablate_lowinput",22,"balanced",13151,878,TRUE,FALSE
"batch_removed",22,"balanced",8533,2441,FALSE,FALSE
"batch_ignored",22,"balanced",8533,2803,FALSE,FALSE
"fix_filter",22,"balanced",13100,870,TRUE,FALSE
"ctc_pipeline",23,"balanced",13147,1130,TRUE,FALSE
"edger_default",23,"balanced",6156,207,TRUE,FALSE
"ablate_filter",23,"balanced",8900,537,TRUE,FALSE
"ablate_exclusive",23,"balanced",10407,913,TRUE,FALSE
"ablate_tmmwsp",23,"balanced",13147,1084,TRUE,FALSE
"ablate_priorcount",23,"balanced",13147,1130,TRUE,FALSE
"ablate_fdr",23,"balanced",13147,583,TRUE,FALSE
"ablate_shrinkfloor",23,"balanced",13147,1130,TRUE,FALSE
"ablate_lowinput",23,"balanced",13147,1130,TRUE,FALSE
"batch_removed",23,"balanced",8531,2485,FALSE,FALSE
"batch_ignored",23,"balanced",8531,2870,FALSE,FALSE
"fix_filter",23,"balanced",13096,1128,TRUE,FALSE
"ctc_pipeline",24,"balanced",13166,1044,TRUE,FALSE
"edger_default",24,"balanced",6156,180,TRUE,FALSE
"ablate_filter",24,"balanced",8924,505,TRUE,FALSE
"ablate_exclusive",24,"balanced",10407,806,TRUE,FALSE
"ablate_tmmwsp",24,"balanced",13166,1040,TRUE,FALSE
"ablate_priorcount",24,"balanced",13166,1044,TRUE,FALSE
"ablate_fdr",24,"balanced",13166,568,TRUE,FALSE
"ablate_shrinkfloor",24,"balanced",13166,1044,TRUE,FALSE
"ablate_lowinput",24,"balanced",13166,1044,TRUE,FALSE
"batch_removed",24,"balanced",8555,2477,FALSE,FALSE
"batch_ignored",24,"balanced",8555,2793,FALSE,FALSE
"fix_filter",24,"balanced",13116,1038,TRUE,FALSE
"ctc_pipeline",25,"balanced",13155,1139,TRUE,FALSE
"edger_default",25,"balanced",6156,225,TRUE,FALSE
"ablate_filter",25,"balanced",8906,558,TRUE,FALSE
"ablate_exclusive",25,"balanced",10407,912,TRUE,FALSE
"ablate_tmmwsp",25,"balanced",13155,1093,TRUE,FALSE
"ablate_priorcount",25,"balanced",13155,1139,TRUE,FALSE
"ablate_fdr",25,"balanced",13155,606,TRUE,FALSE
"ablate_shrinkfloor",25,"balanced",13155,1139,TRUE,FALSE
"ablate_lowinput",25,"balanced",13155,1139,TRUE,FALSE
"batch_removed",25,"balanced",8537,2391,FALSE,FALSE
"batch_ignored",25,"balanced",8537,2739,FALSE,FALSE
"fix_filter",25,"balanced",13104,1136,TRUE,FALSE
"ctc_pipeline",26,"balanced",13163,938,TRUE,FALSE
"edger_default",26,"balanced",6156,218,TRUE,FALSE
"ablate_filter",26,"balanced",8913,477,TRUE,FALSE
"ablate_exclusive",26,"balanced",10407,774,TRUE,FALSE
"ablate_tmmwsp",26,"balanced",13163,1149,TRUE,FALSE
"ablate_priorcount",26,"balanced",13163,938,TRUE,FALSE
"ablate_fdr",26,"balanced",13163,469,TRUE,FALSE
"ablate_shrinkfloor",26,"balanced",13163,938,TRUE,FALSE
"ablate_lowinput",26,"balanced",13163,938,TRUE,FALSE
"batch_removed",26,"balanced",8544,2471,FALSE,FALSE
"batch_ignored",26,"balanced",8544,2858,FALSE,FALSE
"fix_filter",26,"balanced",13112,941,TRUE,FALSE
"ctc_pipeline",27,"balanced",13155,989,TRUE,FALSE
"edger_default",27,"balanced",6156,177,TRUE,FALSE
"ablate_filter",27,"balanced",8906,510,TRUE,FALSE
"ablate_exclusive",27,"balanced",10407,748,TRUE,FALSE
"ablate_tmmwsp",27,"balanced",13155,999,TRUE,FALSE
"ablate_priorcount",27,"balanced",13155,989,TRUE,FALSE
"ablate_fdr",27,"balanced",13155,534,TRUE,FALSE
"ablate_shrinkfloor",27,"balanced",13155,989,TRUE,FALSE
"ablate_lowinput",27,"balanced",13155,989,TRUE,FALSE
"batch_removed",27,"balanced",8537,2560,FALSE,FALSE
"batch_ignored",27,"balanced",8537,2858,FALSE,FALSE
"fix_filter",27,"balanced",13104,989,TRUE,FALSE
"ctc_pipeline",28,"balanced",13239,1623,TRUE,FALSE
"edger_default",28,"balanced",6156,346,TRUE,FALSE
"ablate_filter",28,"balanced",8991,887,TRUE,FALSE
