"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","purity_cond_diff","purity_mean","purity_sd","n_per_group","median_lib"
15471,52,39,13,1720,0.0226744186046512,0.75,0.25,0.1,0.133932372704783,0,0,0,85,3600,0.989722222222222,"TMMwsp",TRUE,FALSE,1.44144240642215,"purity_filtered",5,4,0.3,0.6,0.15,5,863669.5
15993,1333,164,1169,1720,0.0953488372093023,0.123030757689422,0.876969242310578,0.1,0.121755413494369,0.0583333333333333,0.0348837209302326,0,80,3213,0.991596638655462,"TMMwsp",TRUE,FALSE,1.48789020959217,"purity_ignored",5,5,0.4,0.6,0.15,5,958733
17011,28,27,1,1720,0.0156976744186047,0.964285714285714,0.0357142857142857,0.1,0.137476389434694,0,0,0,92,2303,0.990447242726878,"TMMwsp",TRUE,FALSE,1.45105892736002,"purity_covariate",5,5,0.4,0.6,0.15,5,958733
15993,1333,164,1169,1720,0.0953488372093023,0.123030757689422,0.876969242310578,0.1,0.121741146244321,0.0583333333333333,0.0348837209302326,0,80,3213,0.991596638655462,"TMMwsp",TRUE,FALSE,1.48789020959217,"purity_filtered",5,5,0.4,0.6,0.15,5,958733
15951,76,75,1,1720,0.0436046511627907,0.986842105263158,0.0131578947368421,0.1,0.216640269700722,0,0,0,84,3243,0.989515880357693,"TMMwsp",TRUE,FALSE,1.32395325095178,"purity_ignored",6,1,0,0.6,0.15,5,1130315
16983,86,85,1,1720,0.0494186046511628,0.988372093023256,0.0116279069767442,0.1,0.211897635943923,0,0,0,92,2319,0.988788270806382,"TMMwsp",TRUE,FALSE,1.33286278522075,"purity_covariate",6,1,0,0.6,0.15,5,1130315
16152,64,64,0,1720,0.0372093023255814,1,0,0.1,0.196642505434348,0,0,0,84,2916,0.989711934156379,"TMMwsp",TRUE,FALSE,1.28424209288961,"purity_filtered",6,1,0,0.6,0.15,5,1130315
15669,65,64,1,1720,0.0372093023255814,0.984615384615385,0.0153846153846154,0.1,0.202513934670986,0,0.00253164556962025,0,76,3437,0.988943846377655,"TMMwsp",TRUE,FALSE,1.36527664250815,"purity_ignored",6,2,0.1,0.6,0.15,5,843514.5
16761,56,51,5,1720,0.0296511627906977,0.910714285714286,0.0892857142857143,0.1,0.166912186298967,0,0.00253164556962025,0,83,2547,0.989006674519042,"TMMwsp",TRUE,FALSE,1.3760790870418,"purity_covariate",6,2,0.1,0.6,0.15,5,843514.5
15849,57,56,1,1720,0.0325581395348837,0.982456140350877,0.0175438596491228,0.1,0.181033972154288,0,0.00253164556962025,0,77,2921,0.989729544676481,"TMMwsp",TRUE,FALSE,1.37124666145653,"purity_filtered",6,2,0.1,0.6,0.15,5,843514.5
15156,120,71,49,1720,0.0412790697674419,0.591666666666667,0.408333333333333,0.1,0.147810866578359,0,0.0050125313283208,0,82,3825,0.98875816993464,"TMMwsp",TRUE,FALSE,1.45978351478599,"purity_ignored",6,3,0.2,0.6,0.15,5,736172
16221,33,32,1,1720,0.0186046511627907,0.96969696969697,0.0303030303030303,0.1,0.161946380924599,0,0,0,89,2844,0.989099859353024,"TMMwsp",TRUE,FALSE,1.48777193870372,"purity_covariate",6,3,0.2,0.6,0.15,5,736172
16043,75,55,20,1720,0.0319767441860465,0.733333333333333,0.266666666666667,0.1,0.15811899446984,0,0.0025062656641604,0,89,2926,0.989063568010936,"TMMwsp",TRUE,FALSE,1.47329929285675,"purity_filtered",6,3,0.2,0.6,0.15,5,736172
15529,127,73,54,1720,0.0424418604651163,0.574803149606299,0.425196850393701,0.1,0.143620898538366,0,0.00531914893617021,0,82,3458,0.989878542510121,"TMMwsp",TRUE,FALSE,1.44652618496094,"purity_ignored",6,4,0.3,0.6,0.15,5,720811
